,special,podcast,podcast_airdate,podcast_sequence,radio_airdate,radio_sequence,song,artist,album,time,notes,break,asin,itunes,source
,,080.SnakeMistakes,,34,2009-05-13,34,Small Supernova,Metal Molly,,,Dig the William Gibson reference,,,,wfit
,,080.SnakeMistakes,,35,2009-05-13,35,Just Got Paid,Ministry,,,From their Cover Up album,,B0016ECKNY,http://itunes.apple.com/us/album/cover-up/id276434126,wfit
,,080.SnakeMistakes,,36,2009-05-13,36,,,,,,X,,,wfit
,,080.SnakeMistakes,,37,2009-05-13,37,New Violence,White Williams,,,Born of the Cincinnati scene,,B001I520T0,http://itunes.apple.com/us/album/new-violence-ep/id292222004,wfit
,,080.SnakeMistakes,,38,2009-05-13,38,Buggie Technica,Polysics,,,"Unquestionably, the Japanese Devo",,B00005EBL9,,wfit
,,080.SnakeMistakes,,39,2009-05-13,39,It's So Easy,Willy DeVille,,,From the Death Proof soundtrack,,B003YMTHD2,http://itunes.apple.com/us/album/grindhouse-quentin-tarantinos/id220149399,wfit
,,080.SnakeMistakes,,40,2009-05-13,40,,,,,,X,,,wfit
,,080.SnakeMistakes,,41,2009-05-13,41,I Am The Cosmos,This Mortal Coil,,,Originally by Big Star,,B000S58QCQ,http://itunes.apple.com/us/album/blood/id3033840,wfit
,,,,,2009-05-19,00,,,,,,X,,,wfit
,,,,,2009-05-19,01,I Walk The Line,Leonard Nimoy,,,Because there’s a new Star Trek movie,,,,wfit
,,,,,2009-05-19,02,,,,,,X,,,wfit
,,,,,2009-05-19,03,In Blood,Billy Childish & Holly Golightly,,,One chord to rule them all,,,,wfit
,,,,,2009-05-19,04,#8,Commercial,,,Drone and on,,,,wfit
,,,,,2009-05-19,05,A Blues Serenade,The Holy Modal Rounders,,,The one and only,,,,wfit
,,,,,2009-05-19,06,Up Early In The Morning,Jennyanykind,,,From Chapel Hill,,,,wfit
,,,,,2009-05-19,07,,,,,,X,,,wfit
,,,,,2009-05-19,08,He's My Best Friend,Jellyfish,,,A defining moment in Los Angeles pop,,,,wfit
,,,,,2009-05-19,09,Type O Girl,Volumen,,,Montana wildmen,,,,wfit
,,,,,2009-05-19,10,Tell Me When You're Ready,1990s,,,"Yeah, from their new Kicks album",,,,wfit
,,,,,2009-05-19,11,,,,,,X,,,wfit
,,,,,2009-05-19,12,Young Fresh Fellows Theme,Young Fresh Fellows,,,"The closer to their debut album, The Fab Sounds of the Pacific NW",,,,wfit
,,,,,2009-05-19,13,Enter The Heretic,Badawi,,,Transported yet?,,,,wfit
,,,,,2009-05-19,14,Quopern,Ruins,,,"Oh, hello. This must be Japanese",,,,wfit
,,,,,2009-05-19,15,,,,,,X,,,wfit
,,,,,2009-05-19,16,Baby,Os Mutantes,,,Broken up partly by a Fender vs. Gibson spat,,,,wfit
,,,,,2009-05-19,17,Transmission XXX,Yohimbe Brothers,,,Space dub from Vernon Reid and DJ Logic,,,,wfit
,,,,,2009-05-19,18,Nazca Lines Of Peru,The Mercury Program,,,Gainesville post-post band,,,,wfit
,,,,,2009-05-19,19,"Cry, Cry",Mazzy Star,,,For the librarian,,,,wfit
,,,,,2009-05-19,20,,,,,,X,,,wfit
,,,,,2009-05-19,21,Tin Spam,Stubborn Allstars,,,King Django and his NYC ska crew,,,,wfit
,,,,,2009-05-19,22,Great Five Lakes,Buffalo Daughter,,,More Japanese!,,,,wfit
,,,,,2009-05-19,23,Dick Serious,Butter 08,,,Cibo Matto + Russell Simins,,,,wfit
,,,,,2009-05-19,24,Licking the Palm for Guava,Ween,,,"From their classic debut, God Ween Satan",,,,wfit
,,,,,2009-05-19,25,,,,,,X,,,wfit
,,,,,2009-05-19,26,Telephone Thing,The Fall,,,I don’t hear you telephone thing,,,,wfit
,,,,,2009-05-19,27,Hey Bore Hey,Boredoms,,,What’s with all the Japanese stuff?,,,,wfit
,,,,,2009-05-19,28,I Have The Password To Your Shell Account,Barcelona,,,"The old Barcelona, not the new one",,,,wfit
,,,,,2009-05-19,29,Breathless,X,,,Going out to Jeff and his iPod,,,,wfit
,,,,,2009-05-19,30,,,,,,X,,,wfit
,,,,,2009-05-19,31,Droge CX 9,Manfred Hubler & Siegfried Schwab,,,From the Vampyros Lesbos soundtrack,,,,wfit
,,,,,2009-05-19,32,Mandarin,Parker And Lily,,,One of those couple bands...,,,,wfit
,,,,,2009-05-19,33,Baby's Insane,Diamanda Galas with John Paul Jones,,,Whodda thought,,,,wfit
,,,,,2009-05-19,34,,,,,,X,,,wfit
,,,,,2009-05-19,35,Drums Of Death [Pt. 1] Instrum,DJ Shadow,,,Breakthrough turntablist,,,,wfit
,,,,,2009-05-19,36,(We Workers Do Not Understand) Modern Art,Camper Van Beethoven,,,Obscure Camper Van for the fans,,,,wfit
,,,,,2009-05-19,37,Mere Imposters,Solex,,,Dutch cut and paster,,,,wfit
,,,,,2009-05-19,38,Nightmare of a Woman (w/ Billy Zoom),Deke Dickerson & The Eccofonics,,,"If that guitar sounded familiar, listen to the X again",,,,wfit
,,,,,2009-05-19,39,,,,,,X,,,wfit
,,,,,2009-05-19,40,What Is Fight Club?,The Dust Brothers,,,The third rule of Fight Club is Fight Club rules.,,,,wfit
,,,,,2009-05-26,00,,,,,,X,,,wfit
,,084.HowAboutTheBoys,,01,2009-05-26,01,El Camino,Ben Vaughn,,,Vaughn also produced Ween’s fantastic country album,,,,wfit
,,084.HowAboutTheBoys,,02,2009-05-26,02,,,,,,X,,,wfit
,,084.HowAboutTheBoys,,03,2009-05-26,03,How About The Boys?,Arling + Cameron,,,Celebratory apropos of Young Thomas Mapother Lacking IV’s birthday,,B00000HYBJ,http://itunes.apple.com/us/album/all-in/id306424467,wfit
,,084.HowAboutTheBoys,,04,2009-05-26,04,La Negra,Brave Combo,,,From Tejas!,,B0056D4IY0,http://itunes.apple.com/us/album/humansville/id2542188,wfit
,,084.HowAboutTheBoys,,05,2009-05-26,05,Lupin 3,Akakage's Happy Set,,,Japanimania!,,,,wfit
,,084.HowAboutTheBoys,,06,2009-05-26,06,,,,,,X,,,wfit
,,084.HowAboutTheBoys,,07,2009-05-26,07,Unflappable,El Flaco,,,"Crunchy, isn’t it?",,,,wfit
,,084.HowAboutTheBoys,,08,2009-05-26,08,Tiger Rag,Countdown Quartet,,,Hold dat tiger!,,B000QZVWWO,http://itunes.apple.com/us/album/the-countdown-quartet/id5325550,wfit
,,084.HowAboutTheBoys,,09,2009-05-26,09,Go,Dusminguet,,,French and frantic,,B00008O2WN,,wfit
,,084.HowAboutTheBoys,,10,2009-05-26,10,Blood On The Coal,The Folksmen,,,Favorite folk disaster mashup!,,B00282Y7YI,http://itunes.apple.com/us/album/a-mighty-wind-the-album/id313389353,wfit
,,084.HowAboutTheBoys,,11,2009-05-26,11,,,,,,X,,,wfit
,,084.HowAboutTheBoys,,12,2009-05-26,12,Song Against Sex,Neutral Milk Hotel,,,Noisy syrup,,B000VP94UG,http://itunes.apple.com/us/album/old-enough-to-know-better/id199272351,wfit
,,084.HowAboutTheBoys,,13,2009-05-26,13,Oh No The Radio,Owsley,,,Named after the famed LSD concoctioner,,B003A97Y6Q,http://itunes.apple.com/us/album/owsley/id358017219,wfit
,,084.HowAboutTheBoys,,14,2009-05-26,14,Making Plans For Nigel,Primus,,,Unstoppable beat,,B000V6AEJU,http://itunes.apple.com/us/album/miscellaneous-debris-ep/id112332,wfit
,,084.HowAboutTheBoys,,15,2009-05-26,15,,,,,,X,,,wfit
,,084.HowAboutTheBoys,,16,2009-05-26,16,Girl U Want,Devo,,,Everyone remembers this one from the skate park,,B002TSO53O,http://itunes.apple.com/us/album/freedom-choice-deluxe-version/id336673400,wfit
,,084.HowAboutTheBoys,,17,2009-05-26,17,I Hate Retro!,Sir Millard Mulch,,,Was that Rush in the middle?,,B001GCGF9Q,http://itunes.apple.com/us/album/how-to-sell-whole-f-!ing-universe/id301477063,wfit
,,084.HowAboutTheBoys,,18,2009-05-26,18,So Many People In The Neighborhood,Ween,,,The delightful weirdness,,B003Z9PKAS,http://itunes.apple.com/us/album/quebec/id372387852,wfit
,,,,,2009-05-26,19,,,,,,X,,,wfit
,,078.MagnetizeYourFood,,20,2009-05-26,20,Magnetize Your Food,Evolution Control Committee,,,Magnetize your kittens! Nomenclature!,,,,wfit
,,078.MagnetizeYourFood,,21,2009-05-26,21,Core,The Cardiacs,,,Under-appreciated band of the evening,,B00000JP6T,http://itunes.apple.com/us/album/heaven-born-and-ever-bright/id333656477,wfit
,,078.MagnetizeYourFood,,22,2009-05-26,22,El Barzón,Maldita Vecindad & Los Hijos Del Quinto Patio,,,More Mexican monsterbeats,,B00138H4TI,http://itunes.apple.com/us/album/lo-esencial-maldita-vecindad/id251522571,wfit
,,078.MagnetizeYourFood,,23,2009-05-26,23,,,,,,X,,,wfit
,,078.MagnetizeYourFood,,24,2009-05-26,24,Party At Ground Zero,Fishbone,,,It’s the nonstop partying!,,B00138H9MU,http://itunes.apple.com/us/album/the-essential-fishbone/id193883610,wfit
,,078.MagnetizeYourFood,,25,2009-05-26,25,Stink Stinky Ashtray,Damn,,,Nice Ren sample,,B002R9ATY4,http://itunes.apple.com/us/album/the-unlocked-door/id334153084,wfit
,,078.MagnetizeYourFood,,26,2009-05-26,26,Reggae Got Soul,Toots + The Maytalls,,,An original,,B000VZYWS0,http://itunes.apple.com/us/album/reggae-got-soul/id30873,wfit
,,078.MagnetizeYourFood,,27,2009-05-26,27,Dancin' In The Moonlight,King Harvest,,,"One hit wonders, expats in Paris",,,,wfit
,,078.MagnetizeYourFood,,28,2009-05-26,28,,,,,,X,,,wfit
,,078.MagnetizeYourFood,,29,2009-05-26,29,One Step Beyond,Madness,,,A second wave standard,,B004IJY2FS,http://itunes.apple.com/us/album/one-step-beyond.../id413915128,wfit
,,078.MagnetizeYourFood,,30,2009-05-26,30,Lovely Rita,The Beatles,,,With a comb-and-paper section,,B0025KVLTM,http://itunes.apple.com/us/album/sgt.-peppers-lonely-hearts/id401141921,wfit
,,078.MagnetizeYourFood,,31,2009-05-26,31,Kana Kapila,The Continental Cousins,,,From the surfing shores of... Belgium?,,B004K1869W,http://itunes.apple.com/us/album/60s-jungle-garage-teen-beat/id415619372,wfit
,,078.MagnetizeYourFood,,32,2009-05-26,32,Kinder,Davíd Garza,,,Discover Dah-veed.,,B001NS7JKC,http://itunes.apple.com/us/album/this-euphoria/id299795232,wfit
,,078.MagnetizeYourFood,,33,2009-05-26,33,,,,,,X,,,wfit
,,078.MagnetizeYourFood,,34,2009-05-26,34,The Famous Polka,They Might Be Giants,,,Prelude to the great Milwaukee Stage Disaster,,B002GUN3CO,http://itunes.apple.com/us/album/miscellaneous-t/id307946867,wfit
,,078.MagnetizeYourFood,,35,2009-05-26,35,I Said,Nose,,,Grooviness,,,,wfit
,,078.MagnetizeYourFood,,36,2009-05-26,36,All-Nite Dinah,Venice Shoreline Chris,,,The always-amazing Chris Murray,,B002CYN7LG,http://itunes.apple.com/us/album/the-4-track-adventures/id320926431,wfit
,,078.MagnetizeYourFood,,37,2009-05-26,37,Stay Up All Night,Drink Me,,,Some wicked Fanta bottle on that,,B001A3GSGG,http://itunes.apple.com/us/album/drink-me/id281155880,wfit
,,078.MagnetizeYourFood,,38,2009-05-26,38,,,,,,X,,,wfit
,,078.MagnetizeYourFood,,39,2009-05-26,39,Destroy The Flower,Lisa Germano,,,Haunting pieces,,B000S5BWNQ,http://itunes.apple.com/us/album/happiness/id251667804,wfit
June 2009,,,,,,,,,,,,,,,
,,,,,2009-06-02,00,,,,,,X,,,wfit
,,086.Badge,,01,2009-06-02,01,I Got You (I Feel Good),Drink Me,,,Because... I feel good.,,B001A3CMK2,http://itunes.apple.com/us/album/sleep/id281155009,wfit
,,086.Badge,,02,2009-06-02,02,,,,,,X,,,wfit
,,086.Badge,,03,2009-06-02,03,Badge,Cream,,,Writen by George Harrison for his then-pal Eric Clapton,,B001NCL382,http://itunes.apple.com/us/album/the-very-best-of-cream/id120634,wfit
,,086.Badge,,04,2009-06-02,04,"Harder, Better, Faster, Stronger",Daft Punk,,,Definitive Daft Punkery,,B000THIHA4,http://itunes.apple.com/us/album/discovery/id14918657,wfit
,,086.Badge,,05,2009-06-02,05,In At The Beep End,P.P.Roy,,,You can’t fake it. You either have it or you don’t,,,,wfit
,,086.Badge,,06,2009-06-02,06,,,,,,X,,,wfit
,,086.Badge,,07,2009-06-02,07,Ready For The Floor,Hot Chip,,,Very cool videos,,B0013EWQWM,http://itunes.apple.com/us/album/made-in-dark-deluxe-version/id295242053,wfit
,,086.Badge,,08,2009-06-02,08,Pocket Calculator,Kraftwerk,,,Let’s go way back to the start: Germany,,B00122X6WY,http://itunes.apple.com/us/album/computer-world/id40555789,wfit
,,086.Badge,,09,2009-06-02,09,Boom Boom,Trio,,,"German, indeed",,B000VXL24O,http://itunes.apple.com/us/album/da-da-da/id51050,wfit
,,086.Badge,,10,2009-06-02,10,Dedicated to Love,Manfred Hubler & Siegfried Schwab,,,More Vampyros Lesbos,,,,wfit
,,086.Badge,,11,2009-06-02,11,,,,,,X,,,wfit
,,086.Badge,,12,2009-06-02,12,The Beach,Quintron,,,Booty break!,,B000TB4WKE,http://itunes.apple.com/us/album/are-you-ready-for-an-organ-solo/id199355495,wfit
,,086.Badge,,13,2009-06-02,13,Monkey Rag,Asylum Street Spankers,,,I had to play me some A.S.S.,,B000U8MRXK,http://itunes.apple.com/us/album/my-favorite-record/id254927923,wfit
,,086.Badge,,14,2009-06-02,14,Drive Somewhere,Vulgar Boatmen,,,From Gainesville!,,B000QZR2RS,http://itunes.apple.com/us/album/you-and-your-sister/id100986984,wfit
,,086.Badge,,15,2009-06-02,15,,,,,,X,,,wfit
,,086.Badge,,16,2009-06-02,16,Ambulance,These Animal Men,,,Referenced by Art Brut,,B0020KC24A,http://itunes.apple.com/us/album/come-on-join-the-high-society/id296186787,wfit
,,086.Badge,,17,2009-06-02,17,T-Rex,Jascha Ephraim,,,Like Atom and his Package.,,B000QQXT9W,http://itunes.apple.com/us/album/jascha-ephraim/id54498626,wfit
,,086.Badge,,18,2009-06-02,18,Elements,Lemon Jelly,,,wtf “on hiatus”?,,B000S57DGG,http://itunes.apple.com/us/album/lost-horizons/id4978153,wfit
,,,,,2009-06-02,19,,,,,,X,,,wfit
,,083.RadioApeshot,,20,2009-06-02,20,Radio Apeshot,Brainiac,,,I still miss Brainiac,,B00003ZAMG,,wfit
,,083.RadioApeshot,,21,2009-06-02,21,Moving To Florida,Butthole Surfers,,,Dedicated to Officer Miller,,B00190CP80,http://itunes.apple.com/us/album/rembrandt-pussyhorse/id279584884,wfit
,,083.RadioApeshot,,22,2009-06-02,22,Chez Jacquet,The Cook Trio,,,Also from Florida,,B001RX4DXY,http://itunes.apple.com/us/album/black-box-live-at-king-center/id303374096,wfit
,,083.RadioApeshot,,23,2009-06-02,23,,,,,,X,,,wfit
,,083.RadioApeshot,,24,2009-06-02,24,My Mood Swings,Elvis Costello,,,Very non-EC sounding intro.,,B001O3WOWE,http://itunes.apple.com/us/album/the-big-lebowski-soundtrack/id3465841,wfit
,,083.RadioApeshot,,25,2009-06-02,25,New Kind Of Kick,The Cramps,,,Wildman Lux Interior!,,B001B6CC12,http://itunes.apple.com/us/album/off-the-bone/id14613922,wfit
,,083.RadioApeshot,,26,2009-06-02,26,Big Bad Bill,Sourdough Slim,,,A wildman of a different type,,B001I94FIA,http://itunes.apple.com/us/album/elko/id368079566,wfit
,,083.RadioApeshot,,27,2009-06-02,27,Dalida Blooz,Boogie Balagan,,,"From Palestrisrael, France",,B003L9TOOA,http://itunes.apple.com/us/album/lamentation-walloo/id462951604,wfit
,,083.RadioApeshot,,28,2009-06-02,28,,,,,,X,,,wfit
,,083.RadioApeshot,,29,2009-06-02,29,Everybody Please Relax,1990s,,,Good advice.,,B001UOP6Z4,http://itunes.apple.com/us/album/kicks-bonus-track-version/id306599477,wfit
,,083.RadioApeshot,,30,2009-06-02,30,Hula Blues,Herb Remington,,,Some lovely slide guitar.,,,,wfit
,,083.RadioApeshot,,31,2009-06-02,31,Knuckles,The Hold Steady,,,I’ve been trying to get people to call me Sunny D,,B000QZYUPK,http://itunes.apple.com/us/album/almost-killed-me/id19552775,wfit
,,083.RadioApeshot,,32,2009-06-02,32,Posada Do Amor,Les Hommes,,,Yurtmusik,,B0015KKZFO,http://itunes.apple.com/us/album/les-hommes/id155776412,wfit
,,083.RadioApeshot,,33,2009-06-02,33,,,,,,X,,,wfit
,,083.RadioApeshot,,34,2009-06-02,34,Guaglione,Perez Prado & His Orchestra,,,Were you doing the mambo across the room?,,B00138J9YG,http://itunes.apple.com/us/album/lo-mejor-de-perez-prado/id304779730,wfit
,,083.RadioApeshot,,35,2009-06-02,35,Levitate Me,Pixies,,,Early early Pixies... fans look for the Minotaur box set,,B000S5AI1I,http://itunes.apple.com/us/album/come-on-pilgrim/id7206127,wfit
,,083.RadioApeshot,,36,2009-06-02,36,Freeway,Squarepusher,,,Pushing the bass strings,,B001E45LLO,http://itunes.apple.com/us/album/selection-sixteen/id199286296,wfit
,,083.RadioApeshot,,37,2009-06-02,37,What's Inside Of Me?,The Starlight Mints,,,Going out to Bryan and Ghostbeat,,B000EQ46X2,http://itunes.apple.com/us/album/drowaton/id274589065,wfit
,,083.RadioApeshot,,38,2009-06-02,38,,,,,,X,,,wfit
,,083.RadioApeshot,,39,2009-06-02,39,Underwater,The Gentle People,,,Swaying and bubbling,,B00000K0PA,http://itunes.apple.com/us/album/simply-faboo-special-edition/id251433079,wfit
,,,,,2009-06-09,00,,,,,,X,,,wfit
,,,,,2009-06-09,01,Career Opportunities,Sex Clark Five,,,From the sprawling Sandinista Project album,,,,wfit
,,,,,2009-06-09,02,,,,,,X,,,wfit
,,,,,2009-06-09,03,Boombox,Mosquitos,,,Witness fruit from the jungles of Brooklyn,,,,wfit
,,,,,2009-06-09,04,When You Were My Baby,The Magnetic Fields,,,An oldie,,,,wfit
,,,,,2009-06-09,05,Polyester,Maximilian Hecker,,,Sweet sweet poison,,,,wfit
,,,,,2009-06-09,06,Malavida,Mano Negra,,,Later to be covered by Gogol Bordello,,,,wfit
,,,,,2009-06-09,07,,,,,,X,,,wfit
,,,,,2009-06-09,08,While the City Sleeps,MC 900 Foot Jesus,,,The Dallas recluse at his height,,,,wfit
,,,,,2009-06-09,09,My Relatively Obscure Tastes,Muffulletta,,,You can totally hear the Toro,,,,wfit
,,,,,2009-06-09,10,You Open My Eyes,The Moore Brothers,,,From 2003... still fresh,,,,wfit
,,,,,2009-06-09,11,,,,,,X,,,wfit
,,,,,2009-06-09,12,The Bandit,The Starlight Mints,,,Can’t wait for the concert,,,,wfit
,,,,,2009-06-09,13,These Days,Nico,,,Charming,,,,wfit
,,,,,2009-06-09,14,Science Is Golden,The Grates,,,From Australia!,,,,wfit
,,,,,2009-06-09,15,Bat Macumba,Os Mutantes,,,I think this was dis-bitulated,,,,wfit
,,,,,2009-06-09,16,,,,,,X,,,wfit
,,,,,2009-06-09,17,Every Night,Paul McCartney,,,"Post-Beatles, pre-Wings",,,,wfit
,,,,,2009-06-09,18,"Sing, Theresa Says",Greg Laswell,,,Something about this song.,,,,wfit
,,,,,2009-06-09,19,You're Supposed To Be My Friend,1990s,,,"From their debut, Cookies.",,,,wfit
,,,,,2009-06-09,20,Coal Black Horses,16 Horsepower,,,The ultimate spooky,,,,wfit
,,,,,2009-06-09,21,,,,,,X,,,wfit
,,,,,2009-06-09,22,Destro,French Kicks,,,Angular and irresistible,,,,wfit
,,,,,2009-06-09,23,Henrietta,The Fratellis,,,What is in Glasgow?,,,,wfit
,,,,,2009-06-09,24,El Tiradito,Friends Of Dean Martinez,,,Cantina deluxe,,,,wfit
,,,,,2009-06-09,25,Flying Jelly Attack,Shonen Knife,,,Absolutely irresistible,,,,wfit
,,,,,2009-06-09,26,,,,,,X,,,wfit
,,,,,2009-06-09,27,Come Alive,Peggen,,,Mysterious Swedes,,,,wfit
,,,,,2009-06-09,28,Israelites,Madness,,,"The first worldwide Jamaican hit, for Desmond Dekker",,,,wfit
,,,,,2009-06-09,29,Party Tonite!,Maow,,,Featuring the lovely Neko Case,,,,wfit
,,,,,2009-06-09,30,The Alphabet Business Concern (Home of Fadeless Splendour),The Cardiacs,,,Majestic and strange... look up this band,,,,wfit
,,,,,2009-06-09,31,,,,,,X,,,wfit
,,,,,2009-06-09,32,Shoop Shoop Diddy Wop,Monte Video,,,Were you ready for that?,,,,wfit
,,,,,2009-06-09,33,Lonely Mary,The Green Goblyn Project,,,Brevard’s Own,,,,wfit
,,,,,2009-06-09,34,Burn and Rob,Paleface,,,"Listen to your Uncle Paleface, kids. Stay off the rock and roll.",,,,wfit
,,,,,2009-06-09,35,,,,,,X,,,wfit
,,,,,2009-06-09,36,Everybody Passes Me By,Pepe Deluxe,,,Finnish beatmasters,,,,wfit
,,,,,2009-06-09,37,Me Tienes Frito,Muchachito Bombo Infierno,,,“You have me deep fried”,,,,wfit
,,,,,2009-06-09,38,Two Of Us,Mr. T Experience,,,"So happy, so sad.",,,,wfit
,,,,,2009-06-09,39,,,,,,X,,,wfit
,,,,,2009-06-09,40,The Upshot,Rondelles,,,Albuquerque scene-mates of the Shins’,,,,wfit
,,,,,2009-06-09,41,Joy,The Mattoid,,,"Hey, more Finland",,,,wfit
,,,,,2009-06-09,42,Fortune Tellin' Chicken,Shadowy Men on a Shadowy Planet,,,From the Kids in the Hall themesters,,,,wfit
,,,,,2009-06-09,43,,,,,,X,,,wfit
,,,,,2009-06-09,44,Idler,Carl Henry Brueggen,,,Feel the bossa,,,,wfit
,,,,,2009-06-16,00,,,,,,X,,,wfit
,,,,,2009-06-16,01,Go Your Own Way,Seaweed,,,"Hey, more Fleetwood Mac!",,,,wfit
,,,,,2009-06-16,02,,,,,,X,,,wfit
,,,,,2009-06-16,03,King Of Mexico,The Forty-Fives,,,To short for comfort,,,,wfit
,,,,,2009-06-16,04,Gabrielle,Ween,,,At their Thin Lizziest,,,,wfit
,,,,,2009-06-16,05,Ghostiez,The Z Kamp Express,,,"Thank you, Pizza T!",,,,wfit
,,,,,2009-06-16,06,,,,,,X,,,wfit
,,,,,2009-06-16,07,Are You Coming With Me?,Illinois,,,"New album on the way, if not here already",,,,wfit
,,,,,2009-06-16,08,Drama Queen,Switches,,,Nice emphasis on the Queen,,,,wfit
,,,,,2009-06-16,09,Calculator,Micachu & The Shapes,,,Edgy but not quite Tequila,,,,wfit
,,,,,2009-06-16,10,,,,,,X,,,wfit
,,,,,2009-06-16,11,Von Boyage,Brother Bean,,,Recorded at Studio Wolfenstein,,,,wfit
,,,,,2009-06-16,12,Sight Unseen,Brother Bean,,,Live in the studio,,,,wfit
,,,,,2009-06-16,13,Yo Mama,Brother Bean,,,Recorded at Studio Wolfenstein,,,,wfit
,,,,,2009-06-16,14,,,,,,X,,,wfit
,,,,,2009-06-16,15,One's Too Many (And A Hundred Ain't Enough),Nick Lowe,,,Stuck in my head since this morning,,,,wfit
,,,,,2009-06-16,16,Regional Heats,The Capes,,,Very energetic,,,,wfit
,,,,,2009-06-16,17,Sleeping With Your Devil Mask,Robyn Hitchcock,,,"The next time out, I’ll be a trout",,,,wfit
,,,,,2009-06-16,18,Inaugural Trams,Super Furry Animals,,,Welsh to the extreme,,,,wfit
,,,,,2009-06-16,19,,,,,,X,,,wfit
,,,,,2009-06-16,20,Another Satellite,P. Hux,,,He has an ELO cover album... hmmmm.,,,,wfit
,,,,,2009-06-16,21,Y,Ghostbeat,,,Angular and hypnotic,,,,wfit
,,,,,2009-06-16,22,Orange Shirt,Discovery,,,The dude from Vampire Weekend and the guy from Ra Ra Riot,,,,wfit
,,,,,2009-06-16,23,Bizarre Love Triangle,Frente!,,,It’s all about the song.,,,,wfit
,,,,,2009-06-16,24,,,,,,X,,,wfit
,,,,,2009-06-16,25,Monica No Samba,DJ Dolores,,,Minimalist batucada,,,,wfit
,,,,,2009-06-16,26,Here Comes the Rain,Blue Skies For Black Hearts,,,Not the Eurythmics song,,,,wfit
,,,,,2009-06-16,27,The Chilling Place,Fort Lauderdale,,,British Big Idea music,,,,wfit
,,,,,2009-06-16,28,,,,,,X,,,wfit
,,,,,2009-06-16,29,Forozinho Aperreado,Brave Combo,,,"North Brazil via Denton, Texas",,,,wfit
,,,,,2009-06-16,30,Fallen For You,Sheila Nicholls,,,From the High Fidelity soundtrack,,,,wfit
,,,,,2009-06-16,31,Luna De Miel (Featuring Julieta Venegas),Mastretta,,,An anthem for passive aggressives,,,,wfit
,,,,,2009-06-16,32,,,,,,X,,,wfit
,,,,,2009-06-16,33,Eparapo,Tony Allen,,,Master of afrobeat,,,,wfit
,,,,,2009-06-23,00,,,,,,X,,,wfit
,,035.HikerAtlas,,01,2009-06-23,01,Oliver's Army,a.k.a:RUDIE,,,It got Elvis Costello banned from Saturday Night Live,,,,wfit
,,035.HikerAtlas,,02,2009-06-23,02,,,,,,X,,,wfit
,,035.HikerAtlas,,03,2009-06-23,03,Hiker Atlas,aMiniature,,,Jagged,,B000003BJV,,wfit
,,035.HikerAtlas,,04,2009-06-23,04,It's Epidemic,The Cops,,,More jaggedness,,B000W7Y2IW,,wfit
,,035.HikerAtlas,,05,2009-06-23,05,That's That,Cass McCombs,,,Low and rumbling,,B000VFGQBQ,,wfit
,,035.HikerAtlas,,06,2009-06-23,06,Leave The Biker,Fountains Of Wayne,,,A classic,,B000002JX0,,wfit
,,035.HikerAtlas,,07,2009-06-23,07,,,,,,X,,,wfit
,,035.HikerAtlas,,08,2009-06-23,08,Are 'Friends' Electric?,Gary Numan/Tubeway Army,,,Courtesy of RXTL’s Soup Is Good Food,,B000006NTM,,wfit
,,035.HikerAtlas,,09,2009-06-23,09,You Go Bangin On,The Go,,,Detroit Garage deluxxe,,B000ROAARW,,wfit
,,035.HikerAtlas,,10,2009-06-23,10,Den Den,Snuff,,,British! Japanese!,,B0007WQBDG,,wfit
,,035.HikerAtlas,,11,2009-06-23,11,Sweet 'n Sour,Hissanol,,,Transatlantic postal project with the Netherlands,,B000000FAE,,wfit
,,035.HikerAtlas,,12,2009-06-23,12,,,,,,X,,,wfit
,,035.HikerAtlas,,13,2009-06-23,13,Angela,Jarvis Cocker,,,Pulp vocalist’s new solo effort ,,B001VE2B2E,,wfit
,,035.HikerAtlas,,14,2009-06-23,14,Texas Fox,The Low Frequency In Stereo,,,Norwegian champions of relenticity.,,B001PNDMVA,,wfit
,,035.HikerAtlas,,15,2009-06-23,15,Yesmen and Bumsuckers,We Barbarians,,,Doomy gloomy irresistible,,,,wfit
,,035.HikerAtlas,,16,2009-06-23,16,Román Swing,Besh O Drom,,,You haven't heard the theme to Mission Impossible until you've heard it with clarinet and cimbalom.,,,,wfit
,,035.HikerAtlas,,17,2009-06-23,17,,,,,,X,,,wfit
,,035.HikerAtlas,,18,2009-06-23,18,Vulture,Micachu & The Shapes,,,So weird and delicious,,B001R3YJ10,,wfit
,,035.HikerAtlas,,19,2009-06-23,19,Pric,Super Furry Animals,,,Highly recommended,,B001YHSB8G,,wfit
,,035.HikerAtlas,,20,2009-06-23,20,Now We Can See,The Thermals,,,Unmistakable,,B001T46UIW,,wfit
,,,,,2009-06-23,21,,,,,,X,,,wfit
,,036.Antifreeze,,22,2009-06-23,22,Antifreeze,Asylum Street Spankers,,,"Hey, Jesus Lizard reference!",,B00006JCG8,,wfit
,,036.Antifreeze,,23,2009-06-23,23,She's So Blonde,Illinois,,,Bluegrass with a bad attitude,,B00265SB6M,,wfit
,,036.Antifreeze,,24,2009-06-23,24,Young Lawyer,French Kicks,,,From Brooklyn via Washington DC,,B000053F7Z,,wfit
,,036.Antifreeze,,25,2009-06-23,25,,,,,,X,,,wfit
