Date,Song,Artist,Album,Time,Notes,,,
2018-05-29,You Belong To Me,Flat Duo Jets,,3:43,Nobody yowls like Dex,"#nowplaying #kafm ""You Belong To Me"" by Flat Duo Jets ... Nobody yowls like Dex ... http://kafmradio.org",60,
2018-05-29,Susie,Post Animal,When I Think Of You In A Castle,3:10,Nice and breezy,"#nowplaying #kafm ""Susie"" by Post Animal ... Nice and breezy ... http://kafmradio.org",60,
2018-05-29,Backwash,Black Moth Super Rainbow,Panic Blooms,4:04,A dream forgotten,"#nowplaying #kafm ""Backwash"" by Black Moth Super Rainbow ... A dream forgotten ... http://kafmradio.org",60,
2018-05-29,Petrified,Ruler,Winning Star Champion,3:21,Nice hooks,"#nowplaying #kafm ""Petrified"" by Ruler ... Nice hooks ... http://kafmradio.org",60,
2018-05-29,,,,,,,,
2018-05-29,Addicted To Cheese,Evaporators,,1:59,The struggle is real,"#nowplaying #kafm ""Addicted To Cheese"" by Evaporators ... The struggle is real ... http://kafmradio.org",60,
2018-05-29,Percussion Gun,White Rabbits,,3:08,Like Bow Wow Wow,"#nowplaying #kafm ""Percussion Gun"" by White Rabbits ... Like Bow Wow Wow ... http://kafmradio.org",60,
2018-05-29,Sailing The Frequent Seas,Twink,,3:11,The random,"#nowplaying #kafm ""Sailing The Frequent Seas"" by Twink ... The random ... http://kafmradio.org",60,
2018-05-29,Refrigerator,The Abe Lincoln Story,Dance Party!,3:48,More than meets the eye,"#nowplaying #kafm ""Refrigerator"" by The Abe Lincoln Story ... More than meets the eye ... http://kafmradio.org",60,
2018-05-29,,,,,,,,
2018-05-29,On My Knees,Middle Kids,Lost Friends,3:34,Great harmonies,"#nowplaying #kafm ""On My Knees"" by Middle Kids ... Great harmonies ... http://kafmradio.org",60,
2018-05-29,I Can't Explain,Coldspot 8,,3:29,Bubbling bass,"#nowplaying #kafm ""I Can't Explain"" by Coldspot 8 ... Bubbling bass ... http://kafmradio.org",60,
2018-05-29,Everything Is Awful,The Decemberists,I'll Be Your Girl,3:23,No argument here,"#nowplaying #kafm ""Everything Is Awful"" by The Decemberists ... No argument here ... http://kafmradio.org",60,
2018-05-29,Cómo Te Quiero,Khruangbin,Con Todo El Mundo,4:03,SE Asia flavors,"#nowplaying #kafm ""Cómo Te Quiero"" by Khruangbin ... SE Asia flavors ... http://kafmradio.org",60,
2018-05-29,,,,,,,,
2018-05-29,Safari Song,Greta Van Fleet,From The Fires,3:55,Sounding familiar,"#nowplaying #kafm ""Safari Song"" by Greta Van Fleet ... Sounding familiar ... http://kafmradio.org",20,
2018-05-29,Are You Coming With Me?,Illinois,,5:49,Mesmerized,"#nowplaying #kafm ""Are You Coming With Me?"" by Illinois ... Mesmerized ... http://kafmradio.org",20,
2018-05-29,Mean Dream,La Luz,Floating Features,3:35,The new surf rock,"#nowplaying #kafm ""Mean Dream"" by La Luz ... The new surf rock ... http://kafmradio.org",20,
2018-05-29,,,,,,,,
2018-05-29,Huffin' The Muggles,Carl Henry Brueggen,,3:58,Bossa the muggles,"#nowplaying #kafm ""Huffin' The Muggles"" by Carl Henry Brueggen ... Bossa the muggles ... http://kafmradio.org",20,
2018-05-29,Villain,Speedy Ortiz,Twerp Verse,3:20,Very Blake Babies,"#nowplaying #kafm ""Villain"" by Speedy Ortiz ... Very Blake Babies ... http://kafmradio.org",20,
2018-05-29,The Only Living Boy In New York,Buffalo Tom,Quiet And Peace,5:19,Back at it,"#nowplaying #kafm ""The Only Living Boy In New York"" by Buffalo Tom ... Back at it ... http://kafmradio.org",20,
2018-05-29,,,,,,,,
2018-05-29,Saunter,Forth Wanderers,Forth Wanderers,3:25,Quite atypical,"#nowplaying #kafm ""Saunter"" by Forth Wanderers ... Quite atypical ... http://kafmradio.org",20,
2018-05-29,Freeway,Squarepusher,,1:40,Warpspeed jazzin,"#nowplaying #kafm ""Freeway"" by Squarepusher ... Warpspeed jazzin ... http://kafmradio.org",20,
2018-05-29,Swan Lake,Madness,The Lot (Remastered Boxset) One Step Beyond,2:36,Great update,"#nowplaying #kafm ""Swan Lake"" by Madness ... Great update ... http://kafmradio.org",20,
2018-05-29,Underwater Moonlight,The Soft Boys,Underwater Moonlight,4:18,The real jangle,"#nowplaying #kafm ""Underwater Moonlight"" by The Soft Boys ... The real jangle ... http://kafmradio.org",20,
2018-05-29,,,,,,,,
2018-05-29,Freedom Of '76,Ween,Chocolate And Cheese,2:51,No chorus!,"#nowplaying #kafm ""Freedom Of '76"" by Ween ... No chorus! ... http://kafmradio.org",20,
2018-05-29,Little Girl,Cryptkeeper Five,,2:00,That Jersey sound,"#nowplaying #kafm ""Little Girl"" by Cryptkeeper Five ... That Jersey sound ... http://kafmradio.org",20,
2018-05-29,Best To Live On The Good Side,Femi Kuti,One People One World,5:16,Running the bassline,"#nowplaying #kafm ""Best To Live On The Good Side"" by Femi Kuti ... Running the bassline ... http://kafmradio.org",20,
2018-05-29,,,,,,,,
2018-05-29,Champagne,Django Django,Marble Skies,4:45,Farewell beeps,"#nowplaying #kafm ""Champagne"" by Django Django ... Farewell beeps ... http://kafmradio.org",20,
