source,published,airdate,episode,sequence,song,artist,artist_slug,album,time,notes
wfit,no,2008-09-16,,1,I’ll Be Your Mirror,Nico,nico,,,Don’t know why I had to hear this
wfit,no,2008-09-16,,2,On This Earth,Blinker the Star,blinker-star,,,Majestic and unexpected
wfit,no,2008-09-16,,3,BREAK
wfit,no,2008-09-16,,4,Illuminati Stormhorse,Less Pain Forever,less-pain-forever,,,WTF is up with that amazing chorus?
wfit,no,2008-09-16,,5,Back to New Orleans,Blue Skies for Black Hearts,blue-skies-for-black-hearts,,,
wfit,no,2008-09-16,,6,Sweat,Jon Spencer Boosexposion,jon-spencer-boosexposion,,,Hooooo! Pantleg
wfit,no,2008-09-16,,7,Riding the Sorry Train to Dumpsville,Atomic 7,atomic-7,,,Another great song title by Atomic 7
wfit,no,2008-09-16,,8,BREAK
wfit,no,2008-09-16,,9,Health Food Store,White Hassle,white-hassle,,Twice the hassle,You knew some White Hassle was coming
wfit,no,2008-09-16,,10,Nothing In This World,Kinks,kinks,,,From the Rushmore soundtrack
wfit,no,2008-09-16,,11,This Purple Child,Howe Gelb + Grandaddy,howe-gelb-grandaddy,,,Driving in the desert at night with a ghost trumpet
wfit,no,2008-09-16,,12,Jet Girl (Acoustic),The Wedding Present,wedding-present,,,David Gedge and his Unmistakable Voice
wfit,no,2008-09-16,,13,BREAK
wfit,no,2008-09-16,,14,Book Song,Tiny Masters of Today,tiny-masters-of-today,,,To my resident librarian
wfit,no,2008-09-16,,15,Belly Warmer,Dub Narcotic,dub-narcotic,,,"Jam on it, Calvin"
wfit,no,2008-09-16,,16,Do Me,Jean Knight,jean-knight,,,Classic funk from the Superbad sountrack
wfit,no,2008-09-16,,17,Tide Is High,Paragons,paragons,,,"Original reggae version, made famous by Blondie"
wfit,no,2008-09-16,,18,BREAK
wfit,no,2008-09-16,,19,Nice Day,His Name Is Alive,his-name-is-alive,,,Perfect pop from Warren Defever
wfit,no,2008-09-16,,20,Perfect,Petty Booka,petty-booka,,,"Cover of Fairground Attraction song, by Flameco A Go Go grads"
wfit,no,2008-09-16,,21,Making Plans for Nigel,Primus,primus,,,Cover of XTC song. Pounding drums a big plus
wfit,no,2008-09-16,,22,Senses Working Overtime,XTC,xtc,,,"Had to follow up with some actual XTC, ya know"
wfit,no,2008-09-16,,23,BREAK
wfit,no,2008-09-16,,24,Softcore War,hollAnd,holland,,,Completely analog and hypnotic
wfit,no,2008-09-16,,25,Plug Me In,Add N to X,add-n-to-x,,,And the same goes for this
wfit,no,2008-09-16,,26,Mondo ‘77,Looper,looper,,,This one too. Also on the Vanilla Sky soundtrack
wfit,no,2008-09-16,,27,Scout,Calexico,calexico,,,Loosely jointed spy theme
wfit,no,2008-09-16,,28,BREAK
wfit,no,2008-09-16,,29,I Got My Mojo Working,Young Fresh Fellows,young-fresh-fellows,,,(And I Thought You’d Like To Know)
wfit,no,2008-09-16,,30,Musique Automatique,Stereo Total,stereo-total,,,“My antenna telepatique...tique...tique...tique...”
wfit,no,2008-09-16,,31,She Don’t Use Jelly,The Flaming Lips,flaming-lips,,,A radio classic
wfit,no,2008-09-16,,32,I Wanna Destroy You,Soft Boys,soft-boys,,,Archetypal Soft Boys track
wfit,no,2008-09-16,,33,BREAK
wfit,no,2008-09-16,,34,Whale In The Sand,The Brunettes,brunettes,,,From New Zealand!
wfit,no,2008-09-16,,35,Boombox,Mosquitos,mosquitos,,2:20,"From Brooklyn, featuring an Actual Brazilian Native"
wfit,no,2008-09-16,,36,The Baby That Was You,MC Honky,mc-honky,,3:44,Entrancing use of a baby sample
wfit,no,2008-09-16,,37,BREAK
wfit,no,2008-09-16,,38,The Monkey Steals The Peaches,Sir Millard Mulch,sir-millard-mulch,,,"SMM live in the studio, sorta"
wfit,no,2008-09-16,,39,Lookin Lookin Gaa,Polysics,polysics,,,"Lookin ga, SMM"
wfit,no,2008-09-16,,40,Eyes of the Night,Starlight Mints,starlight-mints,,,Spooky pop... save it for Halloween
wfit,no,2008-09-16,,41,Manta Ray,Pixies,pixies,,,B side from somewhere
wfit,no,2008-09-16,,42,BREAK
wfit,no,2008-09-16,,43,Tuff Luff,Unicorns,unicorns,,,Some Unicorns to round things out
wfit,no,2008-09-23,,1,Blues Are Still Blue,Belle + Sebastian,belle-sebastian,,,So smooth
wfit,no,2008-09-23,,2,BREAK
wfit,no,2008-09-23,,3,Los Rebeldes,Sugar Oaks,sugar-oaks,,,from Clearwater
wfit,no,2008-09-23,,4,Parentheses,The Blow,blow,,,Nice ‘80s throwback track
wfit,no,2008-09-23,,5,The Light Brigade,Noonday Underground,noonday-underground,,,"Stringbeat, emphasis on beat"
wfit,no,2008-09-23,,6,Wake Me Up,Tone,tone,,,"Beautiful, Danish"
wfit,no,2008-09-23,,7,BREAK
wfit,no,2008-09-23,,8,Just One Of Those Things,Blossom Dearie,blossom-dearie,,,remix by Brazilian Girls
wfit,no,2008-09-23,,9,Morricone,Hey Hey My My,hey-hey-my-my,,,Spooky
wfit,no,2008-09-23,,10,Fisher Price,Creedle,creedle,,,Don’t mess with me when I’m in the mirror dressed as Elvis
wfit,no,2008-09-23,,11,Police + Thieves,Junior Margin,junior-margin,,,The original?
wfit,no,2008-09-23,,12,BREAK
wfit,no,2008-09-23,,13,(What’s So Funny About) Peace Love and Understanding,Elvis Costello,elvis-costello,,,Song by Nick Lowe
wfit,no,2008-09-23,,14,(I’m A Donkey) For Your Love,Boat,boat,,,
wfit,no,2008-09-23,,15,(Relax) You Will Think You’re A Chicken,Shadowy Men on a Shadowy Planet,shadowy-men-on-a-shadowy-planet,,,Buk buk
wfit,no,2008-09-23,,16,(I Love The Sound Of) Breaking Glass,Nick Lowe,nick-lowe,,,Lowe must like parentheses
wfit,no,2008-09-23,,17,BREAK
wfit,no,2008-09-23,,18,The Hymn for the Cigarettes,Hefner,hefner,,,Product placement warning
wfit,no,2008-09-23,,19,Collapsed In The Superdome,Oranger,oranger,,,A guitar solo made of molten Beach Boys
wfit,no,2008-09-23,,20,Meat,Robyn Hitchcock,robyn-hitchcock,,,
wfit,no,2008-09-23,,21,Friday Night at the Drive-In Bingo Parlor,Jens Lekman,jens-lekman,,,I suppose these are popular in Sweden
wfit,no,2008-09-23,,22,BREAK
wfit,no,2008-09-23,,23,Are You Waiting For Me?,Hoosegow,hoosegow,,,Yearning blues from Queen Esther and E. Sharp
wfit,no,2008-09-23,,24,What They Found,Octopus Project,octopus-project,,,Clockwork Pink Floyd
wfit,no,2008-09-23,,25,Free Again,Teenage Fanclub,teenage-fanclub,,,"Classic song, live"
wfit,no,2008-09-23,,26,BREAK
wfit,no,2008-09-23,,27,My Patch,Jim Noir,jim-noir,,,Singled out by my kids
wfit,no,2008-09-23,,28,Film Co-Work Co.,Creedle,creedle,,,Slow and incremental
wfit,no,2008-09-23,,29,The Dream Machines,Sukia,sukia,,,Wasn’t the the sample from “You Will Think You Are A Chicken?”
wfit,no,2008-09-23,,30,BREAK
wfit,no,2008-09-23,,31,Cuchi Cuchi,Los Amigos Invisibles,los-amigos-invisibles,,,Coochi coochi! Venezuelan!
wfit,no,2008-09-23,,32,Salami Fever,Pepe Deluxe,pepe-deluxe,,,Dig the wah
wfit,no,2008-09-23,,33,Dirty Business,Dresden Dolls,dresden-dolls,,,Bombastic
wfit,no,2008-09-23,,34,Mansard Roof,Vampire Weekend,vampire-weekend,,,For my lover of mansard roofs
wfit,no,2008-09-23,,35,BREAK
wfit,no,2008-09-23,,36,Woman,Everthus the Deadbeats,everthus-deadbeats,,,"Winner, band name of the night"
wfit,no,2008-09-23,,37,Rough Gem,Islands,islands,,,Descended from the Unicorns
wfit,no,2008-09-23,,38,Marrakech,Gachupin,gachupin,,,Instrumentality
wfit,no,2008-09-23,,39,Pink Gardenias,Flat Duo Jets,flat-duo-jets,,,Short and sweet-smelling
wfit,no,2008-09-23,,40,BREAK
wfit,no,2008-09-23,,41,Soon,Japancakes,japancakes,,,Mostly acoustic cover of My Bloody Valentine classic
wfit,no,2008-09-30,,1,Jungle Drum,Emiliana Torrini,emiliana-torrini,,,"Also scores high on the exotic scale, as Emiliana is half-Italian, half Icelandic. Shout out to my crypto-Icelander Hannah."
wfit,no,2008-09-30,,2,South Central Rock,Zoobombs,zoobombs,,,"Japan says, “swift the kick mighty!”"
wfit,no,2008-09-30,,3,BREAK
wfit,no,2008-09-30,,4,A Minha Meninha,Os Mutantes,os-mutantes,,,"Brazilian psychedelica -- Thanks, uncle Dave!"
wfit,no,2008-09-30,,5,Baby’s On Fire,Brian Eno,brian-eno,,,"And speaking of Byrne, here’s some Eno"
wfit,no,2008-09-30,,6,I Have A Dream,Band Marino,band-marino,,,"Outta Orlando, check them out before you have to wait in line"
wfit,no,2008-09-30,,7,BREAK
wfit,no,2008-09-30,,8,Star Position,Marcellus Hall,marcellus-hall,,,Vocalist of White Hassle
wfit,no,2008-09-30,,9,Let My Burden Be,Golden Shoulders,golden-shoulders,,,Another standout GS track
wfit,no,2008-09-30,,10,Funky Days Are Back,Cornershop,cornershop,,,British Hindo-funk
wfit,no,2008-09-30,,11,BREAK
wfit,no,2008-09-30,,12,Where’s The Fire,Head of Femur,head-of-femur,,,"Gadzooks, that sound"
wfit,no,2008-09-30,,13,Miss Madison,Hands Down Eugene,hands-down-eugene,,,Some Athens stuff
wfit,no,2008-09-30,,14,Relentless Machine,Thomas Function,thomas-function,,,Lives up to its name
wfit,no,2008-09-30,,15,BREAK
wfit,no,2008-09-30,,16,Broke A Promise,Guv’ner,guv-ner,,,Old favorite
wfit,no,2008-09-30,,17,Dance Jack Palance,The Gomers,gomers,,,Reissue of obscure (maybe rightfully so) album. Check out the vibe solo!
wfit,no,2008-09-30,,18,Are You Receiving Me?,XTC,xtc,,,Kinda goes with the last track!?
wfit,no,2008-09-30,,19,BREAK
wfit,no,2008-09-30,,20,Sorry Mama,Westbound Train,westbound-train,,,"Rocksteady from Boston, shoutout to Gene Bovineska!"
wfit,no,2008-09-30,,21,Havana,The Mabuses,mabuses,,,How do you pronounce it?
wfit,no,2008-09-30,,22,Conjugate The Verbs,Enon,enon,,,
wfit,no,2008-09-30,,23,BREAK
wfit,no,2008-09-30,,24,Chick Habit,April March,april-march,,,"From Planet Terror, watch it."
wfit,no,2008-09-30,,25,"White Sheets, Tight Bed",Mastretta,mastretta,,,From Spain!
wfit,no,2008-09-30,,26,Meninblack,Stranglers,stranglers,,,Release successfully negotiated by Steve
wfit,no,2008-09-30,,27,BREAK
wfit,no,2008-09-30,,28,Sweat Indoors,Mitsoobishy Jackson,mitsoobishy-jackson,,,Dutch? Belgian?
wfit,no,2008-09-30,,29,Moosh,Colorstore,colorstore,,,From Phoenix AZ!
wfit,no,2008-09-30,,30,Cut Your Hair,Pavement,pavement,,,feat. Steven Malkmus
wfit,no,2008-09-30,,31,BREAK
wfit,no,2008-09-30,,32,Hiphopopotamus,Flight of the Conchords,flight-of-conchords,,,Funny Kiwis.
wfit,no,2008-09-30,,33,Malibu Love Nest,Luna,luna,,,Loves that Dean Warehams -- Sounds like Giant Sand
wfit,no,2008-09-30,,34,Indian Summer,Benjamin Gibbard,benjamin-gibbard,,,From Death Cab / Postal Service
wfit,no,2008-09-30,,35,BREAK
wfit,no,2008-09-30,,36,Salsa + Microchips,DJ Me DJ You,dj-me-dj-you,,,"Sukia descendants, as promised"
wfit,no,2008-09-30,,37,Faded Away,A Big Yes + A Small No,a-big-yes-a-small-no,,,Another vibe solo!
wfit,no,2008-09-30,,38,Submarine #3,Starlight Mints,starlight-mints,,,Lush pop is my weakness.
wfit,no,2008-09-30,,39,Carl Sagan,Boneless Children Society,boneless-children-society,,,Carl Sagan says there are billions of stars.
wfit,no,2008-09-30,,40,BREAK
wfit,no,2008-09-30,,41,Santa Maria,Gotan Project,gotan-project,,,Downtempo tango to lull you into jazz.
wfit,no,2008-10-07,,1,Reggae Hit LA,The Aggrolites,aggrolites,,,LA roots reggae!
wfit,no,2008-10-07,,2,BREAK
wfit,no,2008-10-07,,3,Boycott,Mood Elevator,mood-elevator,,,feat. Brendan Benson
wfit,no,2008-10-07,,4,Hostile Bridge to Benny’s,Steward Copeland,steward-copeland,,,Rumblefish soundtrack!
wfit,no,2008-10-07,,5,Afro Strut,Nite-Liters,nite-liters,,,From the Flying Funk comp. Desco records
wfit,no,2008-10-07,,6,You Are Never Alone,Socalled,socalled,,,via Geoffrey! ‘Alo Geoffrey!
wfit,no,2008-10-07,,7,BREAK
wfit,no,2008-10-07,,8,Chain Saw,Ramones,ramones,,,Classic!
wfit,no,2008-10-07,,9,Life is So Sweet,Garageland,garageland,,,NZ!
wfit,no,2008-10-07,,10,Life is Still Sweet,White Hassle,white-hassle,,,Sweeeet!
wfit,no,2008-10-07,,11,BREAK
wfit,no,2008-10-07,,12,Gonna Be Some Cake Tonight,We Wrote The Book on Connectors,we-wrote-book-on-connectors,,,Band name winnah!
wfit,no,2008-10-07,,13,Furry Green Atom Bowl,Robyn Hitchcock,robyn-hitchcock,,,"Solo album, I Always Dream Of Trains"
wfit,no,2008-10-07,,14,Heaven Is for Easy Girls,The Awkward Stage,awkward-stage,,,Canadia
wfit,no,2008-10-07,,15,BREAK
wfit,no,2008-10-07,,16,Feel The Rumble,Brother Big Bad,brother-big-bad,,,Can you
wfit,no,2008-10-07,,17,Ear To The Ground,Whiskey Daredevils,whiskey-daredevils,,,recognize
wfit,no,2008-10-07,,18,Slow Train Coming,Low Frequency In Stereo,low-frequency-in-stereo,,,the theme?
wfit,no,2008-10-07,,19,BREAK
wfit,no,2008-10-07,,20,You,Rikters,rikters,,,Sharp and snappy
wfit,no,2008-10-07,,21,Rhum + Coca Cola,Fate,fate,,,Working for the yankee dollah
wfit,no,2008-10-07,,22,Vince the Lovable Stoner,The Fratellis,fratellis,,,We all know a Vince.
wfit,no,2008-10-07,,23,Hot Tonite,His Name Is Alive,his-name-is-alive,,,
wfit,no,2008-10-07,,24,BREAK
wfit,no,2008-10-07,,25,Deja Vu,SSM,ssm,,,Not SMM!
wfit,no,2008-10-07,,26,McQueen Bear,David Bernabo,david-bernabo,,,Angular lounge
wfit,no,2008-10-07,,27,Tiny Bongs,The Moore Brothers,moore-brothers,,,"Out to Marc D! No I Got Cash, sorry"
wfit,no,2008-10-07,,28,BREAK
wfit,no,2008-10-07,,29,Fool’s Paradise,United Future Organization,united-future-organization,,,"Japan says, “you will sing the singing of singers!”"
wfit,no,2008-10-07,,30,"Run Away, The Sequel",Darlin’ New Neighbors,darlin-new-neighbors,,,Lo fi and lovely
wfit,no,2008-10-07,,31,The Lake,Supersystem,supersystem,,,"Sounds like pinback, doesn’t it?"
wfit,no,2008-10-07,,32,BREAK
wfit,no,2008-10-07,,33,Rock Steady,Venice Shoreline Chris,venice-shoreline-chris,,,Also from Canadia!
wfit,no,2008-10-07,,34,Life In A Bubble,The Toasters,toasters,,,"Classic NYC Ska, back with a vengeance"
wfit,no,2008-10-07,,35,Talk of the Town,Mohair,mohair,,,"Brits, love that vocal bridge - Supertramp!"
wfit,no,2008-10-07,,36,BREAK
wfit,no,2008-10-07,,37,The Nice One,The Wellingtons,wellingtons,,,Need more info...
wfit,no,2008-10-07,,38,Long Tall Shorty,The Four Corners,four-corners,,,Stereo Version
wfit,no,2008-10-07,,39,BREAK
wfit,no,2008-10-07,,40,Earth People,Dr. Octagon,dr-octagon,,,For Frank W.
wfit,no,2008-10-14,,1,Ghost In The Trees,Thee Oh Sees,thee-oh-sees,,,Thanks to Iceberg Defect!
wfit,no,2008-10-14,,2,BREAK
wfit,no,2008-10-14,,3,Tighten My Tie,The Like Young,like-young,,,Sharp and short
wfit,no,2008-10-14,,4,Me + Armini,Emiliana Torrini,emiliana-torrini,,,"Excellent album, same title"
wfit,no,2008-10-14,,5,Devil You Know,Pinback,pinback,,,Autumn of the Seraphs - Death Metal Cruise
wfit,no,2008-10-14,,6,BREAK
wfit,no,2008-10-14,,7,Road Hog,The Coctails,coctails,,,"Later, Tortoise, the Sea + Cake"
wfit,no,2008-10-14,,8,All or Nothing,Derby,derby,,,
wfit,no,2008-10-14,,9,Had,Portastatic,portastatic,,,Mac from Superchunk
wfit,no,2008-10-14,,10,BREAK
wfit,no,2008-10-14,,11,Sexy,Los Amigos Invisibles,los-amigos-invisibles,,,Super-sexy!
wfit,no,2008-10-14,,12,Trendsetter,Tiny Masters of Today,tiny-masters-of-today,,,5318008! Flip it upside down when you calculate!
wfit,no,2008-10-14,,13,The Hunt (Part 2),Monsieur LeRoc,monsieur-leroc,,,
wfit,no,2008-10-14,,14,BREAK
wfit,no,2008-10-14,,15,Fly,Cornelius,cornelius,,,"Japan says, “the buzzing of sound is music”"
wfit,no,2008-10-14,,16,54-46 Was My Number,Toots + The Maytalls,toots-maytalls,,,Couldn’t resist.
wfit,no,2008-10-14,,17,Waterbed,Drink Me,drink-me,,,"Love that voice, like My Morning Jacket"
wfit,no,2008-10-14,,18,BREAK
wfit,no,2008-10-14,,19,Everybody’s Trying To Be My Villain,Golden Shoulders,golden-shoulders,,,Dedicated to Dr. Orpheus
wfit,no,2008-10-14,,20,In The Summer,Fastbacks,fastbacks,,,Kurt Bloch!
wfit,no,2008-10-14,,21,Genius of Love,Tom Tom Club,tom-tom-club,,,
wfit,no,2008-10-14,,22,BREAK
wfit,no,2008-10-14,,23,Why Are You Asking Me?,Analog vs. Digital,analog-vs-digital,,,Dr. Zoltan!
wfit,no,2008-10-14,,24,BREAK
wfit,no,2008-10-14,,25,For You (Part II),Locksley,locksley,,,Utterly charming
wfit,no,2008-10-14,,26,Happy Torso Bloody Torso,We Wrote The Book on Connectors,we-wrote-book-on-connectors,,,
wfit,no,2008-10-14,,27,Great DJ,The Ting Tings,ting-tings,,,
wfit,no,2008-10-14,,28,Frank,Ween,ween,,,By request
wfit,no,2008-10-14,,29,BREAK
wfit,no,2008-10-14,,30,Faith,Sheperdess,sheperdess,,,
wfit,no,2008-10-14,,31,Music for a Found Harmonium,Penguin Cafe Orchestra,penguin-cafe-orchestra,,,On Napeolon Dynamite soundtrack
wfit,no,2008-10-14,,32,Rhythm + Light,The Aggrolites,aggrolites,,,Reggae Hit LA!
wfit,no,2008-10-14,,33,BREAK
wfit,no,2008-10-14,,34,Golden Brown,The Stranglers,stranglers,,,"Trite, but c’mon -- STRANGLERS."
wfit,no,2008-10-14,,35,World Full of Cops,Paleface,paleface,,3:02,AC/DC What time is it?
wfit,no,2008-10-14,,36,Dead End Street,Tenniscourts,tenniscourts,,,Alloneword
wfit,no,2008-10-14,,37,BREAK
wfit,no,2008-10-14,,38,Tools,Flour,flour,,,Chicago belt sander rock
wfit,no,2008-10-14,,39,Upper Ferry,Flin Flon,flin-flon,,,Mark Robinson of Unrest + Teen Beat
wfit,no,2008-10-14,,40,Rex’s Blues,Entrance,entrance,,,Hobo music is heartwrenching
wfit,no,2008-10-14,,41,Nova (Pt. 1),Tracker,tracker,,,The sound of a spy lost in the desert.
wfit,no,2008-10-14,,42,BREAK
wfit,no,2008-10-14,,43,Imaginary World,Ashtech,ashtech,,,Damn good dub.
wfit,no,2008-10-21,,1,Mission Impossible,Lailka and the Cosmonauts,lailka-cosmonauts,,,Awesomes 5/4 from 5inland!
wfit,no,2008-10-21,,2,BREAK
wfit,no,2008-10-21,,3,Reconcile,The Aggrolites,aggrolites,,,
wfit,no,2008-10-21,,4,Don’t Ever Do That Again,Golden Shoulders,golden-shoulders,,,Oh so good.
wfit,no,2008-10-21,,5,Let Me Find The Good In You,Kiss-Offs,kiss-offs,,,Sucker for the organ. Wait.
wfit,no,2008-10-21,,6,BREAK
wfit,no,2008-10-21,,7,"Perhaps, Perhaps, Perhaps",Cake,cake,,,"Oldie from their first album, Motorcade of Generosity"
wfit,no,2008-10-21,,8,Tied,Tribe,tribe,,,Boston band... hello 1990s.
wfit,no,2008-10-21,,9,Just Like Betty Page,The Jazz Butcher,jazz-butcher,,,Going out to my faithful listener
wfit,no,2008-10-21,,10,BREAK
wfit,no,2008-10-21,,11,Seen The Light,Supergrass,supergrass,,,"So snotty, so Cockney"
wfit,no,2008-10-21,,12,Baby’s Way Cruel,Guv’ner,guv-ner,,,Snarl and twang
wfit,no,2008-10-21,,13,Block of Ice,Thee Oh Sees,thee-oh-sees,,,"Again, muchas gracias to Iceberg Defect"
wfit,no,2008-10-21,,14,BREAK
wfit,no,2008-10-21,,15,Bang Bang To The Rock And Roll,Gabin,gabin,,,Break out the dance moves
wfit,no,2008-10-21,,16,Match Made In Hell,The Wagon,wagon,,,WTF is up with this song?
wfit,no,2008-10-21,,17,Math,Supernova,supernova,,,"You know, I just came from math class."
wfit,no,2008-10-21,,18,BREAK
wfit,no,2008-10-21,,19,Gas Gas,Goran Bregovic,goran-bregovic,,,From the awesome Balkan Beats 3
wfit,no,2008-10-21,,20,The Lark,Kalman Balogh,kalman-balogh,,,More Balkan music!
wfit,no,2008-10-21,,21,Honky Tonk Bound,The Lucky Stars,lucky-stars,,,Cracks me up every time
wfit,no,2008-10-21,,22,BREAK
wfit,no,2008-10-21,,23,Why Are You Asking Me?,Lunch Violation,lunch-violation,,,Dr. Zoltan!
wfit,no,2008-10-21,,24,BREAK
wfit,no,2008-10-21,,25,For The Girl,The Fratellis,fratellis,,,"Playing them a lot, huh?"
wfit,no,2008-10-21,,26,St. Andrews,Bedouin Soundclash,bedouin-soundclash,,,"Reminiscent of the Proclaimers, isn’t it?"
wfit,no,2008-10-21,,27,Shinda Shima,Mellow,mellow,,,
wfit,no,2008-10-21,,28,BREAK
wfit,no,2008-10-21,,29,Bits and Pieces,The Toasters,toasters,,,Back and forth again
wfit,no,2008-10-21,,30,Sadagora Hot Dub,Amsterdam Klezmer All Stars,amsterdam-klezmer-all-stars,,,Can’t stops the klezmers!
wfit,no,2008-10-21,,31,Girls In Magazines,The Wellingtons,wellingtons,,,Too short
wfit,no,2008-10-21,,32,Beautiful + Hard,No-Fi Soul Rebellion,no-fi-soul-rebellion,,,From Montana?
wfit,no,2008-10-21,,33,BREAK
wfit,no,2008-10-21,,34,Way Gone Man,The Anubian Lights,anubian-lights,,,Hello 80s!
wfit,no,2008-10-21,,35,St. Tropez,Smooth Citizen,smooth-citizen,,,"Very smooth, citizen"
wfit,no,2008-10-21,,36,Shamemaker,Ween,ween,,,From “La Cucaracha”
wfit,no,2008-10-21,,37,BREAK
wfit,no,2008-10-21,,38,It’s Just Begun,The Jimmy Castor Bunch,jimmy-castor-bunch,,,Hot and greasy
wfit,no,2008-10-21,,39,Evil Plot To Blow Up Batman,Neal Hefti,neal-hefti,,,"Composer of Batman theme song, died last week"
wfit,no,2008-10-21,,40,Baha-Ree-Bah,Lailka and the Cosmonauts,lailka-cosmonauts,,,As threatened!
wfit,no,2008-10-21,,41,BREAK
wfit,no,2008-10-21,,42,Saint Behind The Glass,Los Lobos,los-lobos,,,Another track heard on Napoleon Dynamite
wfit,no,2008-10-21,,43,Sleep Deprivation,Pinback,pinback,,,How’s I’m Feelings!
wfit,no,2008-10-21,,44,Satellite,Robyn Hitchcock,robyn-hitchcock,,,Jerky little canister of gold
wfit,no,2008-10-21,,45,BREAK
wfit,no,2008-10-21,,46,Parallel Crossing,Dancing Drums,dancing-drums,,,Good night!
